	AUPR	AUC	F1
2	0.9807486754030914	0.9939621601008759	0.9537037037037037
3	0.9821950211247485	0.9941152594591803	0.9558011049723757
4	0.9814926077438124	0.9939838202768315	0.9537037037037037
5	0.9814586762243742	0.9940455197716802	0.9537037037037037
6	0.9820999498450904	0.9940186081053668	0.9553072625698324
7	0.9816234741392758	0.9940164750603722	0.9537037037037037
8	0.9819603854162118	0.9940297661013369	0.9537037037037037
9	0.9819299350545467	0.9941651438705846	0.9521178637200737
10	0.9825913010489402	0.9941411860969226	0.9590316573556797
11	0.9809714798679736	0.9939746310738526	0.9537037037037037
12	0.9828907927030661	0.994255395307617	0.957169459962756
13	0.9812985343640719	0.9940438781890631	0.9574074074074074
14	0.9806390246539771	0.9938807695261802	0.95
15	0.9828893189586094	0.9941817173288745	0.9558011049723757
16	0.9816794148668575	0.9941136181738459	0.9502762430939227
17	0.9817284697711259	0.993959698431387	0.957169459962756
18	0.9828948905835024	0.9942993725858204	0.9534450651769087
19	0.9818982656659463	0.994047324406208	0.9539594843462247
20	0.9744673185133337	0.9939372172944153	0.9373848987108656
21	0.9749101337169757	0.9939915323306104	0.9397363465160076
22	0.9743493667542467	0.9937429303131593	0.9382022471910112
23	0.9746466431984553	0.9939039062937005	0.9382022471910112
24	0.9727745665072964	0.9935601300135768	0.9390815370196813
25	0.9723552462930032	0.9934597046125015	0.9363295880149812
26	0.9749513834484747	0.9937939638478677	0.9416195856873822
27	0.9750162753885947	0.9939575650068143	0.9382022471910112
28	0.9754178098647932	0.9938947171913173	0.9407407407407408
29	0.9752496252160281	0.9939157210253465	0.9382022471910112
30	0.974826350213811	0.9938573038258238	0.9392265193370166
31	0.9746590939175288	0.9937411252747355	0.9392265193370166
32	0.975793299166483	0.9938582884314249	0.9450757575757576
33	0.976006632001801	0.9941769579228705	0.9382022471910112
34	0.9749469321345217	0.9939058752292134	0.9416195856873822
35	0.9739391620059603	0.9937411252530525	0.9382022471910112
36	0.9770441315159415	0.9943819112888763	0.9444444444444444
37	0.9737062242567225	0.993501384003352	0.9382022471910112
38	0.976352069061309	0.9940527392068145	0.9416195856873822
39	0.9734805387834848	0.9939976038367015	0.9382022471910112
40	0.9693344623731253	0.9913750580050543	0.9385474860335196
41	0.9693737998299596	0.9911323635432121	0.9285714285714286
42	0.961431606733733	0.9911169387246324	0.9351851851851852
43	0.9730562141970733	0.9915772213470315	0.9404096834264432
44	0.9703446836258836	0.9911614080506224	0.9329608938547486
45	0.9702609333188288	0.9911179229181685	0.9404096834264432
46	0.9709429037397408	0.9914383981062864	0.9388888888888889
47	0.9725038453649042	0.9915982249874793	0.9388888888888889
48	0.9723087453352988	0.99151585090935	0.9388888888888889
49	0.9715521011064927	0.9914736783257758	0.9337016574585635
50	0.9697570659624901	0.9911569773371076	0.9337016574585635
51	0.9724903931623889	0.9914715450199899	0.9422718808193669
52	0.9723190913440667	0.9914375774681762	0.9388888888888889
53	0.972267854821327	0.9915442382938555	0.9333333333333333
54	0.9703559586652306	0.9911254718445364	0.9340659340659341
55	0.971960226446287	0.9915796826183001	0.9337016574585635
56	0.9711567238997256	0.9914379058033496	0.9351851851851852
57	0.9704403529170678	0.9909594084195422	0.9351851851851852
58	0.970881447075717	0.9913922874372794	0.9328426862925483
59	0.9703344070320776	0.9913095844088923	0.9296296296296296
60	0.9847897389156515	0.9956552878204881	0.9544626593806922
61	0.9875215469790488	0.9958805889770355	0.9542124542124543
62	0.9884215691760634	0.9959081565061974	0.9555555555555556
63	0.9885479793090903	0.9959724813076076	0.9578754578754579
64	0.9855254715749857	0.9956319867422996	0.9521178637200737
65	0.9868503977960743	0.9956941782174666	0.9555555555555556
66	0.988394979043798	0.9959636199714308	0.9594843462246777
67	0.9889799278431077	0.9959708402842589	0.9597069597069597
68	0.9870586437924413	0.9958236479800837	0.9539594843462247
69	0.9887506248943345	0.9959710042521955	0.9565217391304348
70	0.9864452000865991	0.9957931269626674	0.9578754578754579
71	0.9883831133622123	0.9959524615715578	0.9574074074074074
72	0.9887165277091028	0.9959859367738296	0.9597069597069597
73	0.9875911445897452	0.9958567946946493	0.9539594843462247
74	0.987621221353129	0.9958421908557562	0.9550561797752809
75	0.9884919264601146	0.9959677223001058	0.9565217391304348
76	0.9887919193407253	0.9960364776839534	0.9578754578754579
77	0.9870978236480266	0.9957652309404148	0.9544626593806922
78	0.9873124664394206	0.99589338782747	0.9558011049723757
79	0.9873794206190474	0.9958956853526353	0.9544626593806922
80	0.9855056258814388	0.9953188825040439	0.9617486338797814
81	0.9858586226706627	0.9952094751080829	0.9581056466302368
82	0.984038631583152	0.9952951826489279	0.9637681159420289
83	0.9880932112776697	0.9955013350944123	0.9686924493554327
84	0.9865357956485539	0.995306870045255	0.9633699633699634
85	0.9873421903128294	0.9953373867862643	0.9655797101449275
86	0.9881415223580874	0.9954451705778401	0.9690346083788707
87	0.9884614118646822	0.9955428897268672	0.967391304347826
88	0.9872293396117542	0.9954032904588788	0.967391304347826
89	0.9870490017632567	0.9953877074223525	0.9601449275362319
90	0.9880228169582106	0.9954982509006589	0.9633699633699634
91	0.9871765154733023	0.995357190542232	0.967032967032967
92	0.9883100006135919	0.9955524670099802	0.9668508287292817
93	0.9877142357117421	0.9954260159741949	0.9633699633699634
94	0.987027566737753	0.9953890064108069	0.9603603603603603
95	0.9879276142143711	0.9954547473469632	0.9663330300272975
96	0.987345159196225	0.9954114071361759	0.9617486338797814
97	0.9882080425302187	0.9954226074189021	0.9699727024567789
98	0.988602524715005	0.9955701606111169	0.9665158371040724
99	0.9856661714899577	0.9953867336180211	0.9655797101449275
