	AUPR	AUC	F1
0	0.9261295486964884	0.9758686115612538	0.8765957446808511
1	0.9230003396537414	0.9752310135303462	0.8672248803827751
2	0.9167560912329351	0.9749542790946877	0.8695129284425737
3	0.9234699042997108	0.97525850908925	0.8707155742633794
4	0.9265315407868671	0.9758000777285281	0.875453446191052
5	0.9218984486780128	0.9752001666551086	0.875453446191052
6	0.9237508731351154	0.9754115137073065	0.8747731397459165
7	0.9287547365907358	0.9761789978944984	0.880243161094225
8	0.9227624602368261	0.9752991372932966	0.8729483282674773
9	0.9230095991027294	0.9753268382118451	0.8634686346863468
10	0.9236960673407775	0.9752022869104602	0.8766626360338573
11	0.9272155031764722	0.9762098449320444	0.8737160120845922
12	0.9235963398084346	0.9755699210819011	0.871825876662636
13	0.9218956660443582	0.9753976293072375	0.867901972504483
14	0.9235409263085064	0.9755415365391841	0.8665865384615384
15	0.9211211299926654	0.9751776639020693	0.8643156007172743
16	0.9220832329363473	0.9755552841351802	0.875453446191052
17	0.9214683091974123	0.9753122010993425	0.8761329305135952
18	0.9190520226191178	0.9752427093687333	0.8765957446808511
19	0.918009288311487	0.9749386157919342	0.8655043586550436
20	0.9246506862148516	0.9710776676481478	0.8839446782922429
21	0.9240854708576283	0.9709020916114497	0.8748538011695907
22	0.9157567316229971	0.9703614808537125	0.8763376932223543
23	0.9198505649833948	0.9705711183429022	0.8681253696037847
24	0.9225883862131692	0.9708893018806797	0.8810520023909145
25	0.9196138980070314	0.9704616144338118	0.8766803039158387
26	0.9203671998457619	0.9705329522718285	0.872856298048492
27	0.9304058944568669	0.9717699140666567	0.8899637243047158
28	0.9210173751835475	0.9706406099138865	0.8775267538644471
29	0.9212601881706959	0.970410453598957	0.8681253696037847
30	0.9258500236965105	0.9714879816448729	0.8851473241130488
31	0.9300017971308792	0.9718756565596217	0.8911854103343465
32	0.923391181857353	0.9711602228646838	0.8822474596533174
33	0.9236374591487608	0.9713182202563143	0.8853427895981087
34	0.9250390358092944	0.9714573398752806	0.8829787234042553
35	0.9227889961458913	0.9708954575464545	0.8778492109877265
36	0.9219098033004935	0.9709678898838574	0.8783068783068783
37	0.9206880449343222	0.9706901293766728	0.8699763593380615
38	0.9205411016923997	0.9708264445457141	0.8789659224441834
39	0.923367683388687	0.9708528460234693	0.8863499699338545
40	0.9203246415166253	0.9680634048179089	0.8786558805227132
41	0.9135895564428718	0.9672479741454073	0.8708487084870848
42	0.9095264984341442	0.9667334228037701	0.8693009118541033
43	0.9162061073618317	0.9671284158964805	0.8680142687277052
44	0.9200718675385127	0.9677474097653662	0.8779314491882141
45	0.9166394188072797	0.9673253315243018	0.8762376237623762
46	0.9152920603188752	0.9673228691444274	0.8701538461538462
47	0.9213498770050408	0.9677412545684716	0.8811013767209012
48	0.9169710738281756	0.9673459870278067	0.8745387453874539
49	0.9169859635382573	0.9674112381126168	0.8683886838868389
50	0.9190359239538308	0.9679228487696901	0.878169449598021
51	0.9228024675682049	0.9683350097175385	0.8806888068880688
52	0.9204932808262252	0.9678968577533876	0.8757687576875769
53	0.919136637416657	0.967827229575996	0.8802902055622733
54	0.9198679067828781	0.9680380975578563	0.8732057416267942
55	0.9151252213922991	0.9668737740448483	0.8668693009118541
56	0.9171798536476472	0.9679118369519788	0.8782874617737003
57	0.9136652302451276	0.9669330739007833	0.8733944954128441
58	0.9153008306258055	0.9673580936021082	0.8738792588164973
59	0.9162994831441216	0.9671916151112538	0.8701538461538462
60	0.9258563364381224	0.9747251514183799	0.8803367408298256
61	0.9226451901968253	0.9742373434344894	0.8738792588164973
62	0.9179973321891186	0.973875727565428	0.8707155742633794
63	0.9218664728255033	0.9737207397675678	0.8698296836982968
64	0.925643633276813	0.9744603864242689	0.8770642201834863
65	0.925201152915349	0.9742007505791694	0.8786057692307693
66	0.9211595609185514	0.9736458451240552	0.8736776602364654
67	0.9245035888242314	0.9746168784826641	0.8745387453874539
68	0.925691559878278	0.9741079356840792	0.8765957446808511
69	0.924352578984901	0.9740168309818195	0.8695129284425737
70	0.9228886711451353	0.9743129905110091	0.8774752475247525
71	0.9306865613518962	0.974998397796504	0.8868723532970357
72	0.92047520351759	0.973622453206107	0.8717325227963526
73	0.9273359638010439	0.9748415637411529	0.8745387453874539
74	0.9267680969138834	0.9749032574890478	0.8827420324714371
75	0.9219566752238535	0.9736241628458672	0.8657799274486094
76	0.9249044322546573	0.974270173724557	0.8762376237623762
77	0.9192447152972085	0.9737852383406658	0.8738792588164973
